Name,Gender,Frequency
Laura,F,1003
Annie,F,1001
Nyla,F,1000
Catalina,F,999
Kayleigh,F,996
Sloane,F,996
Kamila,F,992
Lia,F,987
Haven,F,985
Rowan,F,982
Ashlyn,F,975
Christina,F,972
Amber,F,969
Myla,F,967
Addilyn,F,966
Erin,F,966
Alison,F,963
Ainsley,F,961
Raelyn,F,960
Cadence,F,955
Kendra,F,955
Heidi,F,952
Kelsey,F,948
Nadia,F,945
Alondra,F,944
Cheyenne,F,943
Kaydence,F,943
Mikayla,F,941
River,F,941
Heaven,F,934
Arielle,F,924
Lana,F,920
Blakely,F,917
Sabrina,F,915
Kyla,F,914
Ada,F,913
Gracelyn,F,913
Allyson,F,903
Felicity,F,903
Kira,F,903
Briella,F,902
Kamryn,F,902
Adaline,F,901
Alicia,F,901
Ember,F,892
Aylin,F,891
Veronica,F,884
Esmeralda,F,879
Sage,F,878
Leslie,F,876
Aspen,F,873
Gia,F,871
Camilla,F,868
Ashlynn,F,866
Scarlet,F,866
Journee,F,860
Daphne,F,858
Bianca,F,856
Mckinley,F,856
Amira,F,853
Carmen,F,849
Kyleigh,F,849
Megan,F,847
Skye,F,845
Elsie,F,843
Kennedi,F,840
Averie,F,839
Carly,F,839
Rylie,F,839
Gracelynn,F,831
Mallory,F,831
Emersyn,F,827
Logan,F,827
Camryn,F,822
Annabella,F,816
Dylan,F,811
Elle,F,811
Kiara,F,811
Yaretzi,F,808
Ariella,F,807
Zara,F,804
April,F,797
Gwendolyn,F,789
Anaya,F,786
Baylee,F,783
Brinley,F,783
Sierra,F,778
Annalise,F,777
Tatum,F,775
Serena,F,774
Dahlia,F,773
Macy,F,771
Miracle,F,769
Madelynn,F,763
Briana,F,762
Freya,F,761
Macie,F,760
Helen,F,757
Bethany,F,756
Leia,F,755
Harlow,F,754
Blake,F,748
Jayleen,F,748
Angelica,F,746
Marilyn,F,745
Viviana,F,742
Francesca,F,740
Juniper,F,732
Carolina,F,729
Jazmin,F,728
Emely,F,727
Maliyah,F,726
Cataleya,F,723
Jillian,F,720
Joy,F,720
Abby,F,719
Malaysia,F,719
Nylah,F,719
Sarai,F,718
Evelynn,F,714
Nia,F,713
Zuri,F,709
Addyson,F,708
Aleah,F,706
Kaia,F,702
Bristol,F,701
Lorelei,F,700
Jazmine,F,698
Maeve,F,698
Alejandra,F,696
Justice,F,696
Julie,F,691
Marlee,F,691
Phoenix,F,691
Jimena,F,690
Emmalyn,F,688
Nayeli,F,688
Aleena,F,686
Brittany,F,686
Amara,F,684
Karina,F,684
Giuliana,F,683
Thea,F,683
Braelynn,F,679
Kassidy,F,679
Braelyn,F,678
Luciana,F,677
Aubrie,F,676
Janelle,F,676
Madisyn,F,675
Brylee,F,674
Leighton,F,674
Ryan,F,674
Amari,F,673
Eve,F,673
Millie,F,672
Kelly,F,670
Selah,F,670
Lacey,F,668
Willa,F,668
Haylee,F,664
Jaylah,F,662
Sylvia,F,658
Melany,F,655
Elisa,F,653
Elsa,F,653
Hattie,F,652
Raven,F,651
Holly,F,650
Aisha,F,649
Itzel,F,648
Kyra,F,647
Tiffany,F,647
Jayda,F,641
Michaela,F,639
Madilynn,F,638
Jamie,F,636
Celeste,F,633
Lilian,F,630
Remi,F,630
Priscilla,F,627
Jazlyn,F,625
Karen,F,624
Savanna,F,624
Zariah,F,621
Lauryn,F,620
Alanna,F,615
Kara,F,615
Karla,F,610
Cassandra,F,608
Ariah,F,606
Evie,F,606
Frances,F,606
Aileen,F,604
Lennon,F,604
Charley,F,603
Rosemary,F,602
Danna,F,601
Regina,F,601
Kaelyn,F,597
Virginia,F,596
Hanna,F,595
Rebekah,F,594
Alani,F,593
Edith,F,593
Liana,F,591
Charleigh,F,590
Gloria,F,590
Cameron,F,585
Colette,F,584
Kailey,F,584
Carter,F,579
Helena,F,579
Matilda,F,579
Imani,F,578
Bridget,F,576
Cynthia,F,576
Janiyah,F,576
Marissa,F,575
Johanna,F,573
Sasha,F,572
Kaliyah,F,570
Cecelia,F,568
Adelina,F,567
Jessa,F,566
Hayley,F,565
Julissa,F,562
Winter,F,562
Crystal,F,559
Kaylie,F,559
Bailee,F,558
Charli,F,557
Henley,F,557
Anya,F,556
Maia,F,556
Skyla,F,556
Liberty,F,555
Fernanda,F,551
Monica,F,550
Braylee,F,549
Dallas,F,548
Mariam,F,545
Marie,F,544
Beatrice,F,540
Hallie,F,540
Maryam,F,539
Angelique,F,538
Anne,F,538
Madalyn,F,537
Alayah,F,536
Annika,F,536
Greta,F,531
Lilyana,F,529
Kadence,F,526
Coraline,F,524
Lainey,F,524
Mabel,F,524
Lillie,F,523
Anika,F,520
Azalea,F,519
Dayana,F,518
Jaliyah,F,515
Addisyn,F,514
Emilee,F,511
Mira,F,511
Angie,F,509
Lilith,F,508
Mae,F,508
Meredith,F,507
Guadalupe,F,505
Emelia,F,503
Margot,F,503
Melina,F,501
Aniya,F,498
Alena,F,495
Myra,F,493
Elianna,F,492
Caitlyn,F,491
Jaelynn,F,490
Jaelyn,F,486
Demi,F,483
Mikaela,F,481
Tiana,F,481
Blair,F,480
Shiloh,F,479
Ariyah,F,478
Saylor,F,478
Caitlin,F,473
Lindsey,F,471
Oakley,F,471
Alia,F,470
Everleigh,F,469
Ivanna,F,467
Miah,F,467
Emmy,F,466
Jessie,F,466
Anahi,F,464
Kaylin,F,464
Ansley,F,463
Annabel,F,460
Remington,F,460
Kora,F,459
Maisie,F,458
Nathalie,F,455
Emory,F,452
Karsyn,F,451
Pearl,F,451
Irene,F,450
Kimber,F,449
Rosa,F,448
Lylah,F,447
Magnolia,F,447
Samara,F,446
Elliot,F,445
Renata,F,445
Galilea,F,444
Kensley,F,444
Kiera,F,444
Whitney,F,444
Amelie,F,443
Siena,F,443
Bria,F,441
Laney,F,441
Perla,F,441
Tatiana,F,439
Zelda,F,439
Jaycee,F,438
Kori,F,438
Montserrat,F,438
Lorelai,F,437
Adele,F,436
Elyse,F,436
Katelynn,F,436
Kynlee,F,436
Marina,F,434
Jayden,F,433
Kailyn,F,433
Avah,F,431
Kenley,F,431
Aviana,F,429
Armani,F,428
Dulce,F,428
Alaia,F,427
Teresa,F,426
Natasha,F,425
Milani,F,424
Amirah,F,423
Breanna,F,423
Linda,F,423
Tenley,F,423
Sutton,F,422
Elaine,F,421
Elliott,F,421
Aliza,F,420
Kenna,F,419
Meadow,F,419
Alyson,F,418
Rory,F,417
Milana,F,416
Erica,F,415
Esme,F,414
Leona,F,414
Joselyn,F,413
Madalynn,F,412
Alma,F,411
Chanel,F,411
Myah,F,411
Karter,F,410
Zahra,F,410
Audrina,F,409
Ariya,F,408
Jemma,F,408
Eileen,F,407
Kallie,F,406
Milan,F,406
Emmalynn,F,405
Lailah,F,404
Sloan,F,404
Clarissa,F,403
Karlee,F,403
Laylah,F,403
Amiya,F,402
Collins,F,402
Ellen,F,401
Hadassah,F,400
Danica,F,399
Jaylene,F,399
Averi,F,398
Reyna,F,398
Saige,F,397
Wren,F,397
Lexie,F,396
Dorothy,F,395
Lilianna,F,395
Monroe,F,393
Aryanna,F,392
Elisabeth,F,392
Ivory,F,392
Liv,F,391
Janessa,F,390
Jaylynn,F,390
Livia,F,390
Rayna,F,390
Alaya,F,387
Malaya,F,387
Cara,F,385
Erika,F,385
Amani,F,384
Clare,F,384
Addilynn,F,383
Roselyn,F,383
Corinne,F,382
Paola,F,382
Jolene,F,381
Anabelle,F,380
Aliana,F,379
Lea,F,379
Mara,F,379
Lennox,F,377
Claudia,F,376
Kristina,F,376
Jaylee,F,375
Kaylynn,F,375
Zariyah,F,375
Gwen,F,374
Kinslee,F,374
Avianna,F,373
Lisa,F,373
Raquel,F,373
Jolie,F,372
Carolyn,F,371
Courtney,F,371
Penny,F,371
Royal,F,371
Alannah,F,370
Ciara,F,370
Chaya,F,369
Kassandra,F,369
Milena,F,369
Mina,F,368
Noa,F,368
Leanna,F,367
Zoie,F,367
Ariadne,F,366
Monserrat,F,366
Nola,F,366
Carlee,F,365
Isabela,F,365
Jazlynn,F,365
Kairi,F,365
Laurel,F,365
Sky,F,365
Rosie,F,364
Arely,F,361
Aubrielle,F,361
Kenia,F,361
Noemi,F,361
Scarlette,F,361
Farrah,F,360
Leyla,F,360
Amia,F,358
Bryanna,F,358
Naya,F,357
Wynter,F,357
Hunter,F,356
Katalina,F,356
Taliyah,F,355
Amaris,F,354
Emerie,F,354
Martha,F,354
Thalia,F,354
Christine,F,352
Estrella,F,352
Brenna,F,351
Milania,F,351
Salma,F,351
Lillianna,F,350
Marjorie,F,350
Shayla,F,349
Zendaya,F,349
Aurelia,F,348
Brenda,F,348
Julieta,F,348
Adilynn,F,346
Deborah,F,346
Keyla,F,346
Patricia,F,346
Emmeline,F,345
Hadlee,F,345
Giovanna,F,344
Kailee,F,344
Desiree,F,342
Casey,F,341
Karlie,F,341
Khaleesi,F,341
Lara,F,341
Tori,F,341
Clementine,F,340
Nancy,F,340
Simone,F,340
Ayleen,F,339
Estelle,F,339
Celine,F,338
Madyson,F,338
Zaniyah,F,338
Adley,F,337
Amalia,F,337
Paityn,F,337
Kathleen,F,336
Sandra,F,336
Lizbeth,F,335
Maleah,F,334
Micah,F,334
Aryana,F,333
Hailee,F,333
Aiyana,F,332
Joyce,F,332
Ryann,F,332
Caylee,F,331
Kalani,F,331
Marisol,F,331
Nathaly,F,331
Briar,F,330
Holland,F,329
Lindsay,F,328
Remy,F,328
Adrienne,F,327
Azariah,F,326
Harlee,F,326
Dana,F,325
Frida,F,325
Marianna,F,325
Yamileth,F,325
Chana,F,324
Kaya,F,324
Lina,F,324
Celia,F,323
Analia,F,322
Hana,F,322
Jayde,F,321
Joslyn,F,321
Romina,F,321
Anabella,F,320
Barbara,F,320
Bryleigh,F,319
Emilie,F,319
Nathalia,F,319
Ally,F,318
Evalyn,F,318
Bonnie,F,317
Zaria,F,317
Carla,F,316
Estella,F,316
Kailani,F,316
Rivka,F,316
Rylan,F,316
Paulina,F,314
Kayden,F,313
Giana,F,312
Yareli,F,312
Kaiya,F,310
Sariah,F,310
Avalynn,F,309
Jasmin,F,309
Aya,F,308
Jewel,F,308
Kristen,F,308
Paula,F,308
Astrid,F,307
Jordynn,F,307
Kenya,F,307
Ann,F,306
Annalee,F,306
Kai,F,306
Kiley,F,305
Marleigh,F,305
Julianne,F,304
Zion,F,304
Emmaline,F,303
Nataly,F,303
Aminah,F,302
Amya,F,302
Iliana,F,302
Jaida,F,302
Paloma,F,302
Asia,F,301
Louisa,F,301
Sarahi,F,301
Tara,F,301
Andi,F,300
Arden,F,300
Dalary,F,300
Aimee,F,299
Alisson,F,299
Halle,F,299
